date_key,date,year,quarter,month_number,month_name,year_month,day_of_week_number,day_of_week,is_weekend
20220113,2022-01-13T00:00:00,2022,Q1,1,January,2022-01,4,Thursday,False
20220114,2022-01-14T00:00:00,2022,Q1,1,January,2022-01,5,Friday,False
20220115,2022-01-15T00:00:00,2022,Q1,1,January,2022-01,6,Saturday,True
20220116,2022-01-16T00:00:00,2022,Q1,1,January,2022-01,7,Sunday,True
20220117,2022-01-17T00:00:00,2022,Q1,1,January,2022-01,1,Monday,False
20220118,2022-01-18T00:00:00,2022,Q1,1,January,2022-01,2,Tuesday,False
20220119,2022-01-19T00:00:00,2022,Q1,1,January,2022-01,3,Wednesday,False
20220120,2022-01-20T00:00:00,2022,Q1,1,January,2022-01,4,Thursday,False
20220121,2022-01-21T00:00:00,2022,Q1,1,January,2022-01,5,Friday,False
20220122,2022-01-22T00:00:00,2022,Q1,1,January,2022-01,6,Saturday,True
20220123,2022-01-23T00:00:00,2022,Q1,1,January,2022-01,7,Sunday,True
20220124,2022-01-24T00:00:00,2022,Q1,1,January,2022-01,1,Monday,False
20220125,2022-01-25T00:00:00,2022,Q1,1,January,2022-01,2,Tuesday,False
20220126,2022-01-26T00:00:00,2022,Q1,1,January,2022-01,3,Wednesday,False
20220127,2022-01-27T00:00:00,2022,Q1,1,January,2022-01,4,Thursday,False
20220128,2022-01-28T00:00:00,2022,Q1,1,January,2022-01,5,Friday,False
20220129,2022-01-29T00:00:00,2022,Q1,1,January,2022-01,6,Saturday,True
20220130,2022-01-30T00:00:00,2022,Q1,1,January,2022-01,7,Sunday,True
20220131,2022-01-31T00:00:00,2022,Q1,1,January,2022-01,1,Monday,False
20220201,2022-02-01T00:00:00,2022,Q1,2,February,2022-02,2,Tuesday,False
20220202,2022-02-02T00:00:00,2022,Q1,2,February,2022-02,3,Wednesday,False
20220203,2022-02-03T00:00:00,2022,Q1,2,February,2022-02,4,Thursday,False
20220204,2022-02-04T00:00:00,2022,Q1,2,February,2022-02,5,Friday,False
20220205,2022-02-05T00:00:00,2022,Q1,2,February,2022-02,6,Saturday,True
20220206,2022-02-06T00:00:00,2022,Q1,2,February,2022-02,7,Sunday,True
