hour_key,date_key,date,hour_start,hour_end,hour_start_ts,hour_end_ts,production_units_reported,operation_record_count,monitored_time_h,operation_time_h,downtime_h,published_efficiency,calculated_efficiency,time_reconciliation_variance_h,source_coverage
2022072211,20220722,2022-07-22T00:00:00,11,12,2022-07-22T11:00:00,2022-07-22T12:00:00,3.0,,,,,,,,Output only
2022072212,20220722,2022-07-22T00:00:00,12,13,2022-07-22T12:00:00,2022-07-22T13:00:00,425.0,1.0,0.9999999999999991,0.49576916666666326,0.5042308333333358,0.4957691666666637,0.4957691666666637,0.0,Both
2022072213,20220722,2022-07-22T00:00:00,13,14,2022-07-22T13:00:00,2022-07-22T14:00:00,6.0,1.0,0.9999999999999991,0.10411444444444648,0.8958855555555527,0.10411444444444658,0.10411444444444658,-1.1102230246251565e-16,Both
2022072214,20220722,2022-07-22T00:00:00,14,15,2022-07-22T14:00:00,2022-07-22T15:00:00,0.0,1.0,0.0,0.0,0.0,,,0.0,Both
2022072215,20220722,2022-07-22T00:00:00,15,16,2022-07-22T15:00:00,2022-07-22T16:00:00,490.0,1.0,0.9999999999999991,0.45415388888888636,0.5458461111111128,0.45415388888888675,0.45415388888888675,0.0,Both
2022072216,20220722,2022-07-22T00:00:00,16,17,2022-07-22T16:00:00,2022-07-22T17:00:00,673.0,1.0,0.9999999999999991,0.7457441666666746,0.25425583333332447,0.7457441666666753,0.7457441666666753,0.0,Both
2022072217,20220722,2022-07-22T00:00:00,17,18,2022-07-22T17:00:00,2022-07-22T18:00:00,669.0,1.0,0.9999999999999991,0.5749761111111139,0.4250238888888852,0.5749761111111145,0.5749761111111145,0.0,Both
2022072218,20220722,2022-07-22T00:00:00,18,19,2022-07-22T18:00:00,2022-07-22T19:00:00,452.0,1.0,0.9999999999999991,0.5958011111111098,0.40419888888888933,0.5958011111111103,0.5958011111111103,0.0,Both
2022072219,20220722,2022-07-22T00:00:00,19,20,2022-07-22T19:00:00,2022-07-22T20:00:00,2.0,,,,,,,,Output only
2022072220,20220722,2022-07-22T00:00:00,20,21,2022-07-22T20:00:00,2022-07-22T21:00:00,129.0,1.0,0.9999999999999991,0.7333263888888875,0.26667361111111165,0.7333263888888881,0.7333263888888881,0.0,Both
2022072609,20220726,2022-07-26T00:00:00,9,10,2022-07-26T09:00:00,2022-07-26T10:00:00,21.0,,,,,,,,Output only
2022072610,20220726,2022-07-26T00:00:00,10,11,2022-07-26T10:00:00,2022-07-26T11:00:00,8.0,,,,,,,,Output only
2022072611,20220726,2022-07-26T00:00:00,11,12,2022-07-26T11:00:00,2022-07-26T12:00:00,0.0,,,,,,,,Output only
2022072612,20220726,2022-07-26T00:00:00,12,13,2022-07-26T12:00:00,2022-07-26T13:00:00,1.0,,,,,,,,Output only
2022072613,20220726,2022-07-26T00:00:00,13,14,2022-07-26T13:00:00,2022-07-26T14:00:00,263.0,1.0,0.9999999999999991,0.37916666666666626,0.6208333333333329,0.3791666666666666,0.3791666666666666,0.0,Both
2022072614,20220726,2022-07-26T00:00:00,14,15,2022-07-26T14:00:00,2022-07-26T15:00:00,160.0,1.0,0.9999999999999991,0.19583333333333316,0.804166666666666,0.19583333333333333,0.19583333333333333,-1.1102230246251565e-16,Both
2022072615,20220726,2022-07-26T00:00:00,15,16,2022-07-26T15:00:00,2022-07-26T16:00:00,568.0,1.0,0.9999999999999991,0.5124999999999995,0.48749999999999966,0.5125,0.5125,-5.551115123125783e-17,Both
2022072616,20220726,2022-07-26T00:00:00,16,17,2022-07-26T16:00:00,2022-07-26T17:00:00,670.0,1.0,0.9999999999999991,0.6333688888888845,0.3666311111111146,0.6333688888888851,0.6333688888888851,-5.551115123125783e-17,Both
2022072617,20220726,2022-07-26T00:00:00,17,18,2022-07-26T17:00:00,2022-07-26T18:00:00,540.0,1.0,0.9999999999999991,0.44995694444444606,0.5500430555555531,0.44995694444444645,0.44995694444444645,0.0,Both
2022072618,20220726,2022-07-26T00:00:00,18,19,2022-07-26T18:00:00,2022-07-26T19:00:00,12.0,1.0,0.9999999999999991,0.0999999999999999,0.8999999999999992,0.09999999999999998,0.09999999999999998,0.0,Both
2022080114,20220801,2022-08-01T00:00:00,14,15,2022-08-01T14:00:00,2022-08-01T15:00:00,168.0,1.0,0.49999999999999956,0.260001111111112,0.23999888888888757,0.5200022222222245,0.5200022222222245,-2.7755575615628914e-17,Both
2022080115,20220801,2022-08-01T00:00:00,15,16,2022-08-01T15:00:00,2022-08-01T16:00:00,40.0,1.0,0.9999999999999991,0.0,0.9999999999999991,0.0,0.0,0.0,Both
2022080116,20220801,2022-08-01T00:00:00,16,17,2022-08-01T16:00:00,2022-08-01T17:00:00,243.0,1.0,0.9999999999999991,0.26586555555555397,0.7341344444444452,0.2658655555555542,0.2658655555555542,-1.1102230246251565e-16,Both
2022080117,20220801,2022-08-01T00:00:00,17,18,2022-08-01T17:00:00,2022-08-01T18:00:00,303.0,1.0,0.49999999999999956,0.2876033333333338,0.21239666666666573,0.5752066666666682,0.5752066666666682,0.0,Both
2022080410,20220804,2022-08-04T00:00:00,10,11,2022-08-04T10:00:00,2022-08-04T11:00:00,221.0,1.0,0.49999999999999956,0.4333288888888887,0.06667111111111085,0.8666577777777782,0.8666577777777782,0.0,Both
2022080411,20220804,2022-08-04T00:00:00,11,12,2022-08-04T11:00:00,2022-08-04T12:00:00,445.0,1.0,0.9999999999999991,0.8291472222222194,0.17085277777777982,0.8291472222222201,0.8291472222222201,-8.326672684688674e-17,Both
2022080412,20220804,2022-08-04T00:00:00,12,13,2022-08-04T12:00:00,2022-08-04T13:00:00,108.0,1.0,0.49999999999999956,0.2124802777777768,0.2875197222222228,0.424960555555554,0.424960555555554,0.0,Both
2022080415,20220804,2022-08-04T00:00:00,15,16,2022-08-04T15:00:00,2022-08-04T16:00:00,170.0,1.0,0.49999999999999956,0.44987222222222517,0.0501277777777744,0.8997444444444511,0.8997444444444511,-1.3877787807814457e-17,Both
2022080416,20220804,2022-08-04T00:00:00,16,17,2022-08-04T16:00:00,2022-08-04T17:00:00,146.0,1.0,0.7499999999999994,0.37081749999999997,0.3791824999999995,0.49442333333333366,0.49442333333333366,0.0,Both
2022090211,20220902,2022-09-02T00:00:00,11,12,2022-09-02T11:00:00,2022-09-02T12:00:00,84.0,1.0,0.24999999999999978,0.13333277777777608,0.11666722222222371,0.5333311111111048,0.5333311111111048,-1.3877787807814457e-17,Both
2022090212,20220902,2022-09-02T00:00:00,12,13,2022-09-02T12:00:00,2022-09-02T13:00:00,96.0,1.0,0.9999999999999991,0.1518727777777789,0.8481272222222203,0.15187277777777905,0.15187277777777905,0.0,Both
2022090213,20220902,2022-09-02T00:00:00,13,14,2022-09-02T13:00:00,2022-09-02T14:00:00,1.0,1.0,0.9999999999999991,0.256418888888892,0.7435811111111071,0.25641888888889225,0.25641888888889225,-1.1102230246251565e-16,Both
2022090214,20220902,2022-09-02T00:00:00,14,15,2022-09-02T14:00:00,2022-09-02T15:00:00,193.0,1.0,0.9999999999999991,0.483137222222227,0.5168627777777721,0.48313722222222744,0.48313722222222744,0.0,Both
2022090215,20220902,2022-09-02T00:00:00,15,16,2022-09-02T15:00:00,2022-09-02T16:00:00,294.0,1.0,0.6999999999999994,0.32080805555554676,0.37919194444445264,0.45829722222221003,0.45829722222221003,0.0,Both
2022090216,20220902,2022-09-02T00:00:00,16,17,2022-09-02T16:00:00,2022-09-02T17:00:00,239.0,,,,,,,,Output only
2022090614,20220906,2022-09-06T00:00:00,14,15,2022-09-06T14:00:00,2022-09-06T15:00:00,120.0,1.0,0.9999999999999991,0.7999891666666656,0.20001083333333353,0.7999891666666663,0.7999891666666663,-5.551115123125783e-17,Both
2022090615,20220906,2022-09-06T00:00:00,15,16,2022-09-06T15:00:00,2022-09-06T16:00:00,383.0,1.0,0.9999999999999991,0.6916083333333368,0.3083916666666624,0.6916083333333375,0.6916083333333375,-1.1102230246251565e-16,Both
2022090616,20220906,2022-09-06T00:00:00,16,17,2022-09-06T16:00:00,2022-09-06T17:00:00,447.0,1.0,0.9999999999999991,0.7666741666666665,0.2333258333333326,0.7666741666666672,0.7666741666666672,-2.7755575615628914e-17,Both
2022090617,20220906,2022-09-06T00:00:00,17,18,2022-09-06T17:00:00,2022-09-06T18:00:00,312.0,1.0,0.49999999999999956,0.34548222222222486,0.15451777777777476,0.6909644444444504,0.6909644444444504,-5.551115123125783e-17,Both
2022090814,20220908,2022-09-08T00:00:00,14,15,2022-09-08T14:00:00,2022-09-08T15:00:00,455.0,1.0,0.9999999999999991,0.6456133333333319,0.35438666666666724,0.6456133333333325,0.6456133333333325,-5.551115123125783e-17,Both
2022090815,20220908,2022-09-08T00:00:00,15,16,2022-09-08T15:00:00,2022-09-08T16:00:00,452.0,1.0,0.9999999999999991,0.6757027777777797,0.3242972222222195,0.6757027777777802,0.6757027777777802,-5.551115123125783e-17,Both
2022091213,20220912,2022-09-12T00:00:00,13,14,2022-09-12T13:00:00,2022-09-12T14:00:00,120.0,1.0,0.49999999999999956,0.35005888888888553,0.14994111111111408,0.7001177777777717,0.7001177777777717,-5.551115123125783e-17,Both
2022091214,20220912,2022-09-12T00:00:00,14,15,2022-09-12T14:00:00,2022-09-12T15:00:00,284.0,1.0,0.9999999999999991,0.5012125000000043,0.4987874999999949,0.5012125000000047,0.5012125000000047,-5.551115123125783e-17,Both
2022091215,20220912,2022-09-12T00:00:00,15,16,2022-09-12T15:00:00,2022-09-12T16:00:00,222.0,1.0,0.9999999999999991,0.25881722222222575,0.7411827777777734,0.258817222222226,0.258817222222226,-1.1102230246251565e-16,Both
2022091216,20220912,2022-09-12T00:00:00,16,17,2022-09-12T16:00:00,2022-09-12T17:00:00,266.0,1.0,0.9999999999999991,0.24588722222221968,0.7541127777777795,0.2458872222222199,0.2458872222222199,-1.1102230246251565e-16,Both
2022091510,20220915,2022-09-15T00:00:00,10,11,2022-09-15T10:00:00,2022-09-15T11:00:00,341.0,1.0,0.7499999999999994,0.6124952777777781,0.13750472222222132,0.8166603703703714,0.8166603703703714,0.0,Both
2022091511,20220915,2022-09-15T00:00:00,11,12,2022-09-15T11:00:00,2022-09-15T12:00:00,453.0,1.0,0.9999999999999991,0.7079172222222206,0.2920827777777786,0.7079172222222213,0.7079172222222213,-1.1102230246251565e-16,Both
2022091513,20220915,2022-09-15T00:00:00,13,14,2022-09-15T13:00:00,2022-09-15T14:00:00,197.0,1.0,0.49999999999999956,0.29209138888888714,0.20790861111111242,0.5841827777777748,0.5841827777777748,0.0,Both
2022091514,20220915,2022-09-15T00:00:00,14,15,2022-09-15T14:00:00,2022-09-15T15:00:00,450.0,1.0,0.9999999999999991,0.6791961111111119,0.32080388888888733,0.6791961111111124,0.6791961111111124,-1.1102230246251565e-16,Both
2022091515,20220915,2022-09-15T00:00:00,15,16,2022-09-15T15:00:00,2022-09-15T16:00:00,352.0,1.0,0.9999999999999991,0.4589752777777805,0.5410247222222186,0.4589752777777809,0.4589752777777809,0.0,Both
2022091516,20220915,2022-09-15T00:00:00,16,17,2022-09-15T16:00:00,2022-09-15T17:00:00,149.0,1.0,0.49999999999999956,0.2784919444444449,0.2215080555555547,0.5569838888888903,0.5569838888888903,-5.551115123125783e-17,Both
2022092010,20220920,2022-09-20T00:00:00,10,11,2022-09-20T10:00:00,2022-09-20T11:00:00,191.0,1.0,0.7499999999999994,0.2624627777777777,0.4875372222222217,0.3499503703703705,0.3499503703703705,5.551115123125783e-17,Both
2022092011,20220920,2022-09-20T00:00:00,11,12,2022-09-20T11:00:00,2022-09-20T12:00:00,291.0,2.0,1.9999999999999982,1.15455638888889,0.8454436111111086,0.5772781944444455,0.5772781944444455,-2.220446049250313e-16,Both
2022092013,20220920,2022-09-20T00:00:00,13,14,2022-09-20T13:00:00,2022-09-20T14:00:00,79.0,2.0,0.8333333333333326,0.5374711111111068,0.2958622222222258,0.6449653333333287,0.6449653333333287,0.0,Both
2022092014,20220920,2022-09-20T00:00:00,14,15,2022-09-20T14:00:00,2022-09-20T15:00:00,219.0,2.0,1.6666666666666652,0.8412355555555535,0.8254311111111117,0.5047413333333326,0.5047413333333326,0.0,Both
2022092015,20220920,2022-09-20T00:00:00,15,16,2022-09-20T15:00:00,2022-09-20T16:00:00,,1.0,0.9999999999999991,0.44429388888889104,0.5557061111111081,0.44429388888889143,0.44429388888889143,0.0,Operations only
2022092016,20220920,2022-09-20T00:00:00,16,17,2022-09-20T16:00:00,2022-09-20T17:00:00,,1.0,0.49999999999999956,0.42083666666666864,0.07916333333333098,0.841673333333338,0.841673333333338,-5.551115123125783e-17,Operations only
